山東記見 [[810, 1133], [1179, 1132], [1180, 1218], [811, 1219]]
萬里平坡列巷居 [[729, 1270], [1272, 1269], [1273, 1346], [730, 1349]]
俗高瓦屋矮茅廬 [[724, 1383], [1271, 1381], [1272, 1460], [725, 1461]]
田夫寸箠耡三犢 [[730, 1498], [1269, 1497], [1270, 1574], [731, 1575]]
旅客重囊駕數驢 [[728, 1614], [1275, 1613], [1276, 1690], [729, 1693]]
坦道馳驅雙轡馬 [[724, 1726], [1273, 1725], [1275, 1804], [726, 1806]]
華廛奕錯一輪車 [[727, 1839], [1278, 1837], [1280, 1924], [729, 1926]]
顧瞻地勢知民產 [[732, 1953], [1278, 1951], [1280, 2036], [734, 2038]]
菽麥多於穀米儲 [[734, 2071], [1281, 2069], [1283, 2151], [736, 2153]]
