次韻賀工部尚書施慶伯 [[511, 1233], [1499, 1227], [1501, 1334], [513, 1336]]
台斗躬圭步上班 [[738, 1377], [1291, 1374], [1292, 1450], [739, 1451]]
宏名清福古崔鄲 [[737, 1489], [1294, 1487], [1296, 1569], [739, 1571]]
清風自樂春臺囿 [[735, 1605], [1292, 1604], [1293, 1680], [736, 1683]]
丹灶長供碧藕餐 [[738, 1718], [1296, 1717], [1297, 1796], [739, 1799]]
祖餞盛陳疏廣帳 [[734, 1832], [1303, 1831], [1304, 1912], [735, 1913]]
優游重製紫芝冠 [[744, 1949], [1301, 1947], [1303, 2028], [746, 2032]]
南天勝景饒乘興 [[745, 2065], [1305, 2062], [1306, 2144], [746, 2145]]
樂只仙人舞袖閒 [[747, 2177], [1303, 2176], [1305, 2257], [749, 2259]]
