又偈 [[916, 1468], [1110, 1466], [1111, 1540], [917, 1542]]
了妄歸真萬累空 [[747, 1599], [1295, 1598], [1297, 1683], [749, 1684]]
河沙凡聖本來同 [[736, 1697], [1299, 1696], [1301, 1777], [738, 1781]]
迷來盡是蛾投焰 [[736, 1804], [1312, 1802], [1314, 1884], [738, 1886]]
悟去方如鶴去籠 [[747, 1909], [1312, 1907], [1314, 1991], [749, 1993]]
片月影分千澗水 [[762, 2014], [1318, 2010], [1320, 2093], [764, 2095]]
孤松聲任四時風 [[756, 2112], [1322, 2111], [1323, 2188], [757, 2191]]
直須蜜契心心地 [[757, 2220], [1326, 2217], [1327, 2294], [758, 2295]]
始悟生平睡夢中 [[764, 2317], [1318, 2312], [1320, 2396], [766, 2398]]
