次韵賀國老芳郡公 [[575, 651], [1359, 652], [1358, 745], [574, 743]]
武惟志致仕 [[717, 795], [1210, 795], [1210, 881], [717, 880]]
堂堂名德位崇班 [[680, 936], [1242, 937], [1242, 1009], [680, 1009]]
得謝如今玉綍頒 [[680, 1038], [1242, 1039], [1241, 1108], [679, 1107]]
裴相亭臺多逸樂 [[679, 1138], [1233, 1139], [1232, 1211], [678, 1210]]
錢翁歲月自清閒 [[677, 1240], [1233, 1240], [1233, 1312], [677, 1311]]
坐觀明聖垂衣治 [[670, 1346], [1241, 1346], [1241, 1409], [670, 1409]]
笑看兒孫衣錦還 [[678, 1442], [1239, 1443], [1238, 1513], [677, 1512]]
忠愛初心長不替 [[673, 1545], [1236, 1545], [1236, 1613], [673, 1613]]
拳拳天保祝岡山 [[668, 1643], [1230, 1643], [1230, 1713], [668, 1713]]
