餞伴送張回北京和副使 [[477, 600], [1466, 597], [1467, 694], [478, 695]]
陳潤甫韵 [[790, 744], [1173, 742], [1174, 825], [791, 830]]
公私界限判靈臺 [[713, 883], [1256, 881], [1257, 959], [714, 962]]
半點都無為利回 [[713, 1000], [1258, 999], [1259, 1070], [714, 1072]]
紫詔擎雲天上降 [[715, 1112], [1257, 1111], [1259, 1191], [717, 1193]]
金鏕和籟日邊來 [[713, 1224], [1262, 1222], [1264, 1308], [715, 1310]]
燕城趙壁三冬雪 [[723, 1347], [1269, 1343], [1271, 1422], [725, 1424]]
漢浦湘江一朵梅 [[721, 1454], [1268, 1451], [1271, 1541], [724, 1544]]
此日主賓應暫試 [[722, 1570], [1272, 1569], [1274, 1648], [724, 1650]]
早知大任屬高才 [[720, 1688], [1272, 1684], [1274, 1762], [722, 1766]]
