古城懷感 [[790, 272], [1189, 271], [1190, 358], [791, 360]]
薪膽經霜蓄沼吳 [[717, 411], [1282, 410], [1283, 485], [718, 486]]
眼前贏得醉姑蘇 [[709, 524], [1286, 523], [1287, 601], [710, 602]]
擎天砥柱天雲鎖 [[714, 643], [1287, 642], [1288, 718], [715, 720]]
浴月春池月影孤 [[715, 762], [1290, 761], [1291, 837], [716, 838]]
四壁宛存封屹峙 [[724, 876], [1287, 875], [1288, 951], [725, 953]]
重門空自照斜烏 [[721, 995], [1286, 994], [1287, 1074], [722, 1075]]
客來猶為山河戀 [[720, 1112], [1289, 1111], [1290, 1187], [721, 1188]]
阿范何心遽五湖 [[724, 1234], [1293, 1234], [1293, 1300], [724, 1301]]
