漢口述懷 [[832, 1188], [1216, 1186], [1218, 1275], [834, 1276]]
迢遞相攜作勝遊 [[704, 1326], [1263, 1325], [1264, 1399], [705, 1400]]
風埃雙鬢歷中州 [[706, 1444], [1259, 1442], [1260, 1518], [707, 1519]]
眼迷趙魏馳驅日 [[700, 1559], [1259, 1558], [1260, 1633], [701, 1634]]
神爽梁韓嘯詠秋 [[708, 1671], [1269, 1670], [1270, 1746], [709, 1747]]
冰逗漢江魚信斷 [[707, 1791], [1271, 1790], [1272, 1865], [708, 1866]]
雪飛楚塞馬蹄留 [[713, 1900], [1261, 1899], [1263, 1977], [715, 1981]]
長途索莫無情緒 [[711, 2019], [1272, 2016], [1273, 2095], [712, 2098]]
一曲離歌寫我愁 [[714, 2130], [1269, 2129], [1270, 2206], [715, 2209]]
