贈大清使周燦 [[715, 1397], [1297, 1396], [1298, 1485], [716, 1486]]
聖代才名重璧圭 [[696, 1535], [1244, 1534], [1245, 1612], [698, 1614]]
傳來夫子自關西 [[697, 1648], [1248, 1647], [1249, 1727], [698, 1730]]
九重冊命頒丹陛 [[696, 1765], [1249, 1762], [1250, 1839], [697, 1842]]
萬里帆檣泛碧溪 [[705, 1881], [1246, 1877], [1248, 1958], [707, 1962]]
鶴禁風標人罕見 [[700, 1995], [1249, 1992], [1250, 2077], [701, 2078]]
雞林姓字價爭題 [[703, 2109], [1255, 2107], [1257, 2189], [705, 2191]]
回朝若問交南事 [[707, 2221], [1255, 2219], [1257, 2302], [709, 2306]]
處處春臺壽域齊 [[702, 2335], [1255, 2333], [1257, 2417], [704, 2422]]
