次韵賀大理寺卿 [[637, 251], [1314, 248], [1315, 337], [638, 338]]
銳嶺男段俊和致仕 [[579, 392], [1378, 390], [1379, 481], [580, 482]]
青雲路接群仙 [[701, 533], [1269, 532], [1270, 603], [702, 604]]
稠疊恩波降自天 [[702, 646], [1265, 645], [1266, 719], [703, 720]]
輔政有時攄弼亮 [[709, 761], [1270, 761], [1270, 835], [709, 836]]
董多日任藩宣 [[710, 875], [1267, 874], [1268, 956], [711, 957]]
見幾明哲憑雙解 [[710, 994], [1272, 993], [1273, 1070], [711, 1071]]
無妄良方作十全 [[710, 1112], [1277, 1109], [1278, 1184], [711, 1185]]
不老江山渾似舊 [[717, 1222], [1270, 1221], [1271, 1296], [718, 1297]]
仙遊好景樂年年 [[716, 1340], [1279, 1339], [1280, 1413], [717, 1414]]
